loopIteration,time (us),GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),attitude[0],attitude[1],attitude[2],vbat (V),GPS_numSat
163,3260000,351980265,333553877,128,5.75,81,87,195,25.09,12
164,3280000,351980266,333553855,141,7.92,-7,66,196,25.13,10
165,3300000,351980263,333553834,98,4.99,-20,-30,198,25.02,13
166,3320000,351980249,333553811,157,7.23,27,34,199,25.05,11
167,3340000,351980260,333553788,180,5.7,0,24,200,25.06,14
168,3360000,351980263,333553764,120,6.32,12,-50,201,25.09,13
169,3380000,351980267,333553740,219,6.1,42,-20,202,25.12,9
170,3400000,351980263,333553715,130,6.22,18,-74,204,25.1,13
171,3420000,351980270,333553690,134,6.0,50,-14,205,25.06,14
172,3440000,351980268,333553664,133,5.12,-71,-105,206,25.03,10
173,3460000,351980270,333553638,115,5.38,2,-10,207,25.05,13
174,3480000,351980263,333553611,161,6.59,-21,-17,208,25.05,12
175,3500000,351980254,333553584,146,5.93,5,-10,210,25.06,10
176,3520000,351980270,333553556,213,4.66,-3,-12,211,25.03,9
177,3540000,351980269,333553528,171,5.21,-38,89,212,25.1,12
178,3560000,351980275,333553499,169,5.23,-21,12,213,25.03,9
179,3580000,351980278,333553470,140,5.99,55,42,214,25.07,12
180,3600000,351980277,333553440,93,6.27,-33,68,216,25.06,10
181,3620000,351980275,333553409,147,6.16,-74,76,217,25.02,12
182,3640000,351980285,333553379,117,5.27,34,64,218,25.05,12
183,3660000,351980285,333553347,190,6.07,56,1,219,25.05,10
184,3680000,351980287,333553316,152,4.41,-16,-26,220,25.04,14
185,3700000,351980290,333553283,220,2.59,6,-9,222,25.07,14
186,3720000,351980306,333553251,184,5.98,-49,5,223,25.03,12
187,3740000,351980316,333553218,189,4.06,-12,30,224,25.12,13
188,3760000,351980323,333553184,165,4.91,64,25,225,25.08,12
189,3780000,351980321,333553150,165,4.6,46,86,226,25.02,12
190,3800000,351980310,333553115,184,6.8,8,24,228,24.97,12
191,3820000,351980323,333553081,196,4.59,-16,121,229,25.08,14
192,3840000,351980336,333553045,131,6.37,-96,82,230,25.05,9
193,3860000,351980338,333553010,180,5.45,18,5,231,25.04,11
194,3880000,351980347,333552973,266,4.56,26,74,232,25.01,11
195,3900000,351980358,333552937,158,4.15,61,-117,234,25.0,12
196,3920000,351980369,333552900,153,6.59,118,100,235,24.98,9
197,3940000,351980382,333552862,136,6.5,21,51,236,25.11,12
198,3960000,351980381,333552825,107,6.96,56,50,237,25.08,11
199,3980000,351980399,333552787,213,8.23,-65,-56,238,25.02,12
200,4000000,351980390,333552748,169,6.36,70,158,240,25.09,9
201,4020000,351980402,333552709,179,6.37,50,16,241,24.98,11
202,4040000,351980410,333552670,242,5.88,80,22,242,25.05,11
203,4060000,351980422,333552630,269,6.15,39,87,243,25.05,12
204,4080000,351980444,333552590,134,5.61,26,20,244,25.0,10
205,4100000,351980463,333552550,213,4.95,86,-13,246,25.02,11
206,4120000,351980454,333552509,196,8.42,-38,63,247,25.0,11
207,4140000,351980441,333552468,188,3.79,37,-21,248,25.03,13
208,4160000,351980452,333552427,192,6.33,63,67,249,25.07,14
209,4180000,351980446,333552385,173,6.55,-45,37,250,25.06,11
210,4200000,351980449,333552344,238,6.2,-67,87,252,25.04,13
211,4220000,351980461,333552301,200,4.86,25,-31,253,25.06,11
212,4240000,351980447,333552259,190,5.79,7,93,254,24.97,10
213,4260000,351980430,333552216,227,5.46,35,45,255,25.08,12
214,4280000,351980436,333552173,214,4.73,38,130,256,25.02,10
215,4300000,351980439,333552129,197,5.96,-44,-3,258,24.98,10
216,4320000,351980440,333552086,193,5.52,20,124,259,25.01,10
217,4340000,351980444,333552042,251,5.35,66,65,260,25.0,12
218,4360000,351980439,333551998,202,6.83,-20,70,261,25.02,11
219,4380000,351980427,333551953,179,4.74,-16,-7,262,25.03,14
220,4400000,351980429,333551909,149,6.53,-65,58,264,24.95,14
221,4420000,351980422,333551864,170,5.27,48,64,265,25.05,13
222,4440000,351980409,333551819,143,6.52,114,-12,266,25.07,14
223,4460000,351980417,333551773,190,6.09,-79,-29,267,24.98,12
224,4480000,351980420,333551728,197,6.29,45,-9,268,25.06,12
225,4500000,351980428,333551682,105,4.83,53,104,270,25.05,9
226,4520000,351980421,333551636,189,5.07,-32,38,271,25.04,12
227,4540000,351980418,333551590,215,4.97,-21,77,272,25.06,12
228,4560000,351980411,333551544,196,6.21,-60,44,273,24.97,10
229,4580000,351980406,333551497,152,6.89,-45,35,274,25.03,11
230,4600000,351980411,333551451,242,7.29,10,41,276,24.98,10
231,4620000,351980406,333551404,164,5.4,38,8,277,25.08,11
232,4640000,351980413,333551357,144,6.1,7,92,278,24.98,11
233,4660000,351980420,333551310,151,4.06,50,38,279,24.97,13
234,4680000,351980444,333551263,194,3.34,12,41,280,25.04,10
235,4700000,351980433,333551215,235,4.95,-67,-40,282,25.02,14
236,4720000,351980445,333551168,243,5.19,85,45,283,25.0,13
237,4740000,351980448,333551120,206,4.13,70,-4,284,25.01,12
238,4760000,351980451,333551073,150,3.86,-40,4,285,25.02,11
239,4780000,351980440,333551025,173,6.63,104,82,286,25.05,10
240,4800000,351980438,333550977,164,5.03,28,-25,288,24.98,11
241,4820000,351980449,333550929,193,3.97,8,19,289,24.98,13
242,4840000,351980452,333550881,130,8.77,113,62,290,24.98,14
243,4860000,351980456,333550833,207,6.19,-144,88,291,25.0,11
244,4880000,351980456,333550785,229,5.6,-92,3,292,25.0,11
245,4900000,351980471,333550737,198,6.79,42,46,294,24.96,14
246,4920000,351980474,333550689,223,5.07,-13,44,295,25.0,12
247,4940000,351980456,333550640,168,7.88,-54,-27,296,24.96,13
248,4960000,351980452,333550592,148,4.14,89,-79,297,24.98,13
249,4980000,351980436,333550544,182,4.41,29,-68,298,24.99,11
250,5000000,351980407,333550495,254,5.81,-73,60,300,24.98,9
251,5020000,351980405,333550447,250,5.06,-37,35,301,25.04,13
252,5040000,351980421,333550399,191,7.66,50,-38,302,25.04,10
253,5060000,351980425,333550351,259,4.06,105,-2,303,25.02,12
254,5080000,351980417,333550302,198,5.1,-115,9,304,25.04,10
255,5100000,351980411,333550254,273,6.26,16,11,306,24.98,13
256,5120000,351980425,333550206,232,6.64,-20,28,307,25.03,13
257,5140000,351980430,333550158,196,7.17,-100,142,308,24.98,9
258,5160000,351980434,333550110,246,6.38,-8,-9,309,24.99,14
259,5180000,351980437,333550062,184,8.6,-92,37,310,24.99,10
260,5200000,351980440,333550014,179,5.4,-29,-9,312,24.94,14
261,5220000,351980452,333549966,159,6.17,96,-2,313,24.96,14
262,5240000,351980461,333549918,228,6.99,31,-15,314,24.98,13
263,5260000,351980466,333549871,217,5.58,47,18,315,24.99,9
264,5280000,351980459,333549823,216,5.61,36,1,316,24.98,9
265,5300000,351980468,333549776,204,5.41,22,47,318,24.95,13
266,5320000,351980464,333549728,279,5.19,58,40,319,24.94,14
267,5340000,351980478,333549681,205,4.61,-66,-15,320,24.98,14
268,5360000,351980469,333549634,194,5.29,-19,127,321,24.94,10
269,5380000,351980471,333549587,274,4.1,51,-29,322,24.94,14
270,5400000,351980474,333549541,281,6.41,-40,48,324,24.97,9
271,5420000,351980464,333549494,239,4.05,-23,140,325,24.98,9
272,5440000,351980485,333549447,157,8.42,72,-6,326,24.95,14
273,5460000,351980503,333549401,203,7.99,91,97,327,24.92,9
274,5480000,351980501,333549355,252,7.27,-33,102,328,24.98,13
275,5500000,351980512,333549309,229,5.7,-45,47,330,25.0,11
276,5520000,351980520,333549264,292,5.25,36,-64,331,24.96,12
277,5540000,351980497,333549218,176,7.41,17,102,332,24.96,9
278,5560000,351980503,333549173,258,6.17,-37,34,333,24.9,10
279,5580000,351980505,333549128,207,6.62,37,2,334,24.99,12
280,5600000,351980510,333549083,286,5.09,34,95,336,24.93,11
281,5620000,351980502,333549038,231,7.22,6,-7,337,24.99,12
282,5640000,351980503,333548994,276,4.99,174,84,338,24.95,9
283,5660000,351980504,333548950,210,6.07,81,1,339,24.96,13
284,5680000,351980519,333548906,180,3.88,49,57,340,24.96,12
285,5700000,351980526,333548862,193,5.16,62,-25,342,24.91,13
286,5720000,351980529,333548819,214,6.54,175,9,343,25.04,10
287,5740000,351980548,333548776,198,5.4,66,-16,344,24.91,10
288,5760000,351980546,333548733,288,5.41,-39,-6,345,24.96,9
289,5780000,351980545,333548691,294,6.89,21,39,346,24.93,9
290,5800000,351980530,333548648,252,5.85,6,21,348,24.95,14
291,5820000,351980549,333548607,201,7.43,-30,39,349,25.0,10
292,5840000,351980562,333548565,238,3.05,17,95,350,24.9,11
293,5860000,351980575,333548524,216,6.62,17,24,351,24.95,13
294,5880000,351980585,333548483,303,6.55,0,-65,352,24.97,12
295,5900000,351980589,333548442,258,4.09,-26,15,354,24.96,9
296,5920000,351980595,333548402,266,4.39,51,34,355,24.97,11
297,5940000,351980596,333548362,231,6.99,-91,81,356,24.93,9
298,5960000,351980597,333548323,167,4.66,50,82,357,24.9,10
299,5980000,351980601,333548283,218,5.18,3,78,358,24.91,13
300,6000000,351980619,333548244,205,6.65,18,18,360,24.94,11
301,6020000,351980628,333548206,265,5.54,-136,62,361,24.97,12
302,6040000,351980631,333548168,255,6.51,101,-43,362,24.95,9
303,6060000,351980629,333548130,220,4.9,-98,95,363,25.0,14
304,6080000,351980626,333548093,237,6.29,-48,52,364,24.95,9
305,6100000,351980645,333548056,316,7.23,40,55,366,24.95,13
306,6120000,351980653,333548020,216,6.33,-33,10,367,24.95,12
307,6140000,351980657,333547983,219,3.31,-21,32,368,24.89,14
308,6160000,351980657,333547948,247,6.72,-128,-4,369,24.96,12
309,6180000,351980649,333547913,229,6.01,-23,58,370,24.91,14
310,6200000,351980652,333547878,241,4.85,15,-37,372,24.93,12
311,6220000,351980664,333547843,280,7.6,42,79,373,25.01,9
312,6240000,351980664,333547809,329,3.85,-14,57,374,24.9,11
313,6260000,351980665,333547776,189,8.18,15,133,375,24.94,14
314,6280000,351980666,333547743,261,5.18,28,27,376,24.95,14
315,6300000,351980670,333547710,264,7.82,-36,25,378,24.94,10
316,6320000,351980658,333547678,260,5.88,-41,39,379,24.94,9
317,6340000,351980659,333547646,256,4.35,117,31,380,24.92,9
318,6360000,351980653,333547615,251,6.05,-47,24,381,24.99,12
319,6380000,351980666,333547584,306,6.33,75,-26,382,24.87,14
320,6400000,351980661,333547554,248,6.58,6,-26,384,24.9,10
321,6420000,351980670,333547524,262,7.2,89,1,385,24.98,10
322,6440000,351980689,333547495,268,4.86,-34,15,386,24.95,13
323,6460000,351980689,333547466,273,6.52,33,-30,387,24.91,9
324,6480000,351980686,333547438,263,6.82,22,-29,388,24.9,12
325,6500000,351980692,333547410,310,5.61,-10,15,390,24.92,12
326,6520000,351980695,333547383,271,4.82,20,67,391,25.01,11
327,6540000,351980688,333547356,279,4.79,-42,20,392,24.94,13
328,6560000,351980696,333547330,271,6.83,-2,64,393,24.9,9
329,6580000,351980720,333547305,234,6.89,-20,79,394,24.93,10
330,6600000,351980721,333547279,241,4.94,47,69,396,24.91,12
331,6620000,351980722,333547255,233,4.33,-2,8,397,24.97,14
332,6640000,351980715,333547231,284,7.41,-79,9,398,24.93,10
333,6660000,351980721,333547207,249,4.08,-19,-65,399,24.96,14
334,6680000,351980712,333547184,235,6.12,-3,-4,400,24.93,10
335,6700000,351980704,333547162,288,4.97,-50,53,402,24.98,12
336,6720000,351980720,333547140,301,3.84,80,-25,403,24.93,13
337,6740000,351980715,333547119,210,6.08,26,99,404,24.93,10
338,6760000,351980729,333547098,349,5.71,52,103,405,24.89,13
339,6780000,351980747,333547078,283,7.65,-42,11,406,24.9,10
340,6800000,351980753,333547058,279,8.65,-20,77,408,24.93,9
341,6820000,351980762,333547039,326,5.71,62,-42,409,24.9,10
342,6840000,351980785,333547020,287,7.16,-81,-23,410,24.99,12
343,6860000,351980787,333547003,261,7.18,24,10,411,24.91,11
344,6880000,351980784,333546985,374,5.31,7,30,412,24.89,12
345,6900000,351980774,333546968,244,4.9,-26,20,414,24.94,11
346,6920000,351980777,333546952,284,7.86,8,-14,415,24.9,10
347,6940000,351980796,333546937,323,5.5,-60,130,416,24.92,10
348,6960000,351980809,333546922,247,5.9,15,44,417,24.91,9
349,6980000,351980802,333546907,286,5.59,-68,44,418,24.89,11
350,7000000,351980797,333546894,307,5.77,-72,64,420,24.95,9
351,7020000,351980796,333546881,388,5.21,85,38,421,24.91,10
352,7040000,351980802,333546868,257,6.83,-38,18,422,24.94,11
353,7060000,351980803,333546856,292,7.43,-121,1,423,24.9,14
354,7080000,351980809,333546845,321,5.49,60,-53,424,24.86,12
355,7100000,351980815,333546834,299,4.28,-42,106,426,24.87,14
356,7120000,351980815,333546824,248,5.99,-204,-17,427,24.89,14
357,7140000,351980818,333546814,313,4.16,0,-54,428,24.9,11
358,7160000,351980824,333546805,302,5.17,57,-11,429,24.9,9
359,7180000,351980826,333546797,317,7.4,23,-51,430,24.92,9
360,7200000,351980834,333546789,345,8.7,104,131,432,24.86,13
361,7220000,351980856,333546782,341,6.38,-4,48,433,24.91,10
362,7240000,351980866,333546776,318,4.66,38,101,434,24.86,10
363,7260000,351980870,333546770,315,6.86,-56,104,435,24.88,13
364,7280000,351980856,333546765,259,3.25,12,59,436,24.97,9
365,7300000,351980863,333546761,298,5.1,93,59,438,24.93,14
366,7320000,351980847,333546757,313,7.75,32,-6,439,24.88,14
367,7340000,351980836,333546753,289,6.82,12,25,440,24.95,13
368,7360000,351980848,333546751,310,4.28,-113,0,441,24.94,14
369,7380000,351980859,333546749,274,3.95,-19,32,442,24.92,9
370,7400000,351980860,333546747,369,6.95,-73,-5,444,24.94,14
371,7420000,351980847,333546746,395,5.88,48,94,445,24.88,11
372,7440000,351980846,333546746,294,5.22,-40,69,446,24.89,13
373,7460000,351980843,333546747,326,6.43,24,24,447,24.86,9
374,7480000,351980853,333546748,302,5.25,-56,-55,448,24.91,10
375,7500000,351980878,333546750,363,3.64,114,64,450,24.85,12
376,7520000,351980884,333546752,330,6.9,-66,75,451,24.87,10
377,7540000,351980880,333546755,317,5.16,10,26,452,24.9,11
378,7560000,351980871,333546759,306,4.73,157,-34,453,24.87,14
379,7580000,351980874,333546763,320,4.34,15,52,454,24.89,11
380,7600000,351980876,333546768,276,6.23,-48,83,456,24.94,12
381,7620000,351980867,333546774,344,4.97,39,-67,457,24.85,10
382,7640000,351980872,333546780,289,6.68,61,58,458,24.92,9
383,7660000,351980864,333546787,340,5.61,54,-62,459,24.86,9
384,7680000,351980878,333546794,325,7.22,-113,34,460,24.85,11
385,7700000,351980892,333546802,364,5.47,15,119,462,24.89,13
386,7720000,351980906,333546811,321,5.15,-122,34,463,24.91,12
387,7740000,351980905,333546820,363,3.58,114,54,464,24.86,11
388,7760000,351980913,333546830,286,4.62,7,13,465,24.85,9
389,7780000,351980915,333546841,348,6.79,-24,29,466,24.86,9
390,7800000,351980915,333546852,316,9.58,42,149,468,24.85,10
391,7820000,351980915,333546864,333,4.44,31,98,469,24.88,10
392,7840000,351980905,333546876,329,4.69,-67,13,470,24.85,11
393,7860000,351980894,333546889,365,6.34,98,10,471,24.86,9
394,7880000,351980905,333546903,247,6.5,-11,30,472,24.88,14
395,7900000,351980907,333546917,342,5.12,-101,141,474,24.86,14
396,7920000,351980912,333546932,270,6.03,85,40,475,24.9,9
397,7940000,351980926,333546947,379,4.01,93,86,476,24.85,10
398,7960000,351980912,333546964,252,5.58,77,11,477,24.85,10
399,7980000,351980907,333546980,292,7.01,35,-34,478,24.93,14
400,8000000,351980912,333546998,266,7.88,-49,97,480,24.91,12
401,8020000,351980919,333547016,399,5.73,58,26,481,24.87,14
402,8040000,351980919,333547034,283,5.62,113,-9,482,24.89,11
403,8060000,351980933,333547053,340,6.47,51,-5,483,24.87,9
404,8080000,351980938,333547073,315,7.26,97,-4,484,24.85,13
405,8100000,351980929,333547093,265,6.52,-43,0,486,24.88,13
406,8120000,351980923,333547114,324,5.04,63,-48,487,24.87,12
407,8140000,351980935,333547136,365,6.36,58,91,488,24.9,10
408,8160000,351980943,333547158,332,7.09,-85,49,489,24.8,13
409,8180000,351980927,333547180,378,5.08,-93,79,490,24.88,13
410,8200000,351980944,333547203,327,4.34,-39,12,492,24.86,11
411,8220000,351980953,333547227,342,6.54,7,47,493,24.84,14
412,8240000,351980970,333547252,328,6.37,29,38,494,24.84,11
413,8260000,351980969,333547276,358,7.09,-10,89,495,24.84,11
414,8280000,351980970,333547302,421,6.04,0,71,496,24.82,11
415,8300000,351980962,333547328,360,5.17,-3,48,498,24.84,10
416,8320000,351980990,333547354,354,5.41,8,-3,499,24.88,12
417,8340000,351980992,333547382,322,4.71,37,-31,500,24.81,12
418,8360000,351981011,333547409,318,4.81,32,-10,501,24.84,12
419,8380000,351981008,333547437,407,5.27,0,-2,502,24.78,12
420,8400000,351981013,333547466,305,5.36,18,2,504,24.83,12
421,8420000,351981000,333547496,314,7.27,-23,-32,505,24.86,10
422,8440000,351980999,333547525,347,4.47,50,114,506,24.85,9
423,8460000,351981012,333547556,335,5.88,-26,43,507,24.85,12
