time_ms,lat,lon,alt_m,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,vbat_v,sat_count
10600,36.85,34.75094153267033,29.89,7.74,-5.32,-13.83,90.0,24.89,11
10800,36.85,34.75095963906784,29.84,8.27,0.64,-5.62,90.0,24.83,11
11000,36.85,34.75097774546534,29.78,8.15,2.11,-14.1,90.0,24.87,12
11200,36.85,34.75099585186285,29.9,8.66,-3.94,-9.23,90.0,24.89,11
11400,36.85,34.75101395826036,30.52,8.17,-1.65,-5.95,90.0,24.92,11
11600,36.85,34.75103206465786,29.7,8.16,-2.89,-8.63,90.0,24.85,12
11800,36.85,34.75105017105537,30.34,8.02,-2.41,-10.93,90.0,24.94,12
12000,36.85,34.75106827745287,29.41,8.27,0.13,-10.19,90.0,24.84,16
12200,36.85,34.75108638385038,29.88,8.22,-5.21,-5.95,90.0,24.84,15
12400,36.85,34.75110449024789,30.06,8.38,1.54,-11.84,90.0,24.92,11
12600,36.85,34.751122596645395,30.21,7.93,1.88,-5.74,90.0,24.86,15
12800,36.85,34.7511407030429,30.25,7.96,-0.63,-8.11,90.0,24.83,11
13000,36.85,34.751158809440405,30.28,7.94,-6.2,-10.38,90.0,24.84,13
13200,36.85,34.75117691583791,29.88,8.26,-2.49,-9.17,90.0,24.89,11
13400,36.85,34.75119502223542,29.84,8.44,3.08,-10.03,90.0,24.89,11
13600,36.85,34.751213128632926,30.3,7.95,-6.94,-6.27,90.0,24.79,11
13800,36.85,34.75123123503043,29.93,7.96,-0.87,-6.54,90.0,24.82,14
14000,36.85,34.751249341427936,29.55,8.14,-2.95,-11.44,90.0,24.82,14
14200,36.85,34.75126744782544,29.6,8.0,2.01,-8.81,90.0,24.77,13
14400,36.85,34.75128555422295,29.68,8.3,-1.69,-9.73,90.0,24.8,15
14600,36.85,34.75130366062046,30.17,7.5,1.01,-5.41,90.0,24.8,16
14800,36.85,34.75132176701796,30.05,7.86,1.41,-10.7,90.0,24.84,16
15000,36.85,34.75133987341547,30.24,7.87,4.59,-4.79,90.0,24.84,15
15200,36.85,34.75135797981298,29.85,7.48,-0.51,-8.07,90.0,24.77,14
15400,36.85,34.751376086210485,30.06,7.82,0.94,-10.32,90.0,24.77,14
15600,36.85,34.75139419260799,30.22,7.84,-3.71,-9.35,90.0,24.8,12
15800,36.85,34.751412299005494,29.89,8.01,2.98,-9.6,90.0,24.74,14
16000,36.85,34.751430405403,30.16,8.34,-1.9,-10.55,90.0,24.78,11
16200,36.85,34.75144851180051,29.77,8.0,-1.4,-7.81,90.0,24.75,17
16400,36.85,34.751466618198016,29.87,7.81,-0.06,-10.46,90.0,24.71,13
16600,36.85,34.75148472459552,29.87,8.05,-3.91,-12.36,90.0,24.71,16
16800,36.85,34.751502830993026,29.58,8.33,0.57,-8.76,90.0,24.8,17
17000,36.85,34.75152093739053,30.17,7.82,2.42,-11.61,90.0,24.73,14
17200,36.85,34.75153904378804,29.84,7.84,0.73,-9.5,90.0,24.79,17
17400,36.85,34.75155715018555,30.0,8.2,-3.97,-9.82,90.0,24.7,14
17600,36.85,34.75157525658305,30.17,8.01,-0.31,-9.74,90.0,24.73,11
17800,36.85,34.75159336298056,30.16,8.23,1.86,-4.0,90.0,24.81,11
18000,36.85,34.75161146937806,30.23,8.06,-4.69,-7.89,90.0,24.66,11
18200,36.85,34.751629575775574,29.97,8.24,-2.69,-7.51,90.0,24.62,17
18400,36.85,34.75164768217308,29.85,7.81,2.19,-11.55,90.0,24.75,14
18600,36.85,34.751665788570584,29.97,8.06,0.68,-9.31,90.0,24.66,13
18800,36.85,34.75168389496809,29.41,5.75,1.03,-7.57,44.1,24.68,14
19000,36.850014971852914,34.75168389496809,29.49,8.03,4.65,-10.05,0.0,24.65,12
19200,36.850029943705835,34.75168389496809,29.54,7.94,1.17,-6.18,0.0,24.68,17
19400,36.85004491555875,34.75168389496809,29.65,8.5,1.64,-10.41,0.0,24.63,17
19600,36.85005988741167,34.75168389496809,30.14,8.25,6.78,-8.57,0.0,24.65,11
19800,36.85007485926458,34.75168389496809,29.68,8.08,-0.53,-9.17,0.0,24.67,16
20000,36.8500898311175,34.75168389496809,29.87,8.31,-1.99,-7.67,0.0,24.61,13
20200,36.850104802970414,34.75168389496809,30.45,8.62,1.07,-9.28,0.0,24.62,11
20400,36.850119774823334,34.75168389496809,29.88,7.76,1.1,-8.54,0.0,24.63,17
20600,36.85013474667625,34.75168389496809,30.26,7.96,-1.32,-8.47,0.0,24.58,11
20800,36.85014971852917,34.75168389496809,29.67,8.1,-2.58,-9.47,0.0,24.61,12
21000,36.85016469038208,34.75168389496809,29.93,8.7,5.77,-7.03,0.0,24.63,11
21200,36.850179662235,34.75168389496809,29.67,5.87,0.82,-7.52,315.9,24.6,14
21400,36.850179662235,34.751665788570584,29.88,8.26,-1.83,-8.18,270.0,24.6,15
21600,36.850179662235,34.75164768217308,30.29,7.78,2.29,-8.86,270.0,24.61,13
21800,36.850179662235,34.751629575775574,29.4,7.78,-0.27,-6.41,270.0,24.58,11
22000,36.850179662235,34.75161146937806,30.15,8.18,-0.63,-8.47,270.0,24.62,11
22200,36.850179662235,34.75159336298056,30.08,8.08,1.41,-8.61,270.0,24.65,17
22400,36.850179662235,34.75157525658305,29.79,8.2,-3.23,-7.79,270.0,24.57,16
22600,36.850179662235,34.75155715018555,29.49,8.02,0.88,-4.61,270.0,24.6,17
22800,36.850179662235,34.75153904378804,30.03,8.13,4.78,-10.68,270.0,24.56,14
23000,36.850179662235,34.75152093739053,29.81,8.1,1.17,-6.46,270.0,24.58,14
23200,36.850179662235,34.751502830993026,30.08,8.26,-0.94,-11.79,270.0,24.63,16
23400,36.850179662235,34.75148472459552,30.01,8.27,-1.27,-7.57,270.0,24.58,15
23600,36.850179662235,34.751466618198016,30.56,7.66,-1.03,-4.85,270.0,24.48,14
23800,36.850179662235,34.75144851180051,29.92,7.5,-0.63,-7.02,270.0,24.56,13
24000,36.850179662235,34.751430405403,29.64,8.31,-0.94,-7.66,270.0,24.59,14
24200,36.850179662235,34.751412299005494,30.06,8.36,2.29,-9.12,270.0,24.53,11
24400,36.850179662235,34.75139419260799,30.08,7.81,-4.33,-7.94,270.0,24.57,12
24600,36.850179662235,34.751376086210485,30.48,7.6,2.16,-8.5,270.0,24.5,16
24800,36.850179662235,34.75135797981298,30.29,8.09,-0.95,-9.57,270.0,24.46,17
25000,36.850179662235,34.75133987341547,30.12,8.3,0.94,-8.58,270.0,24.52,11
25200,36.850179662235,34.75132176701796,30.51,8.51,-2.82,-7.6,270.0,24.44,11
25400,36.850179662235,34.75130366062046,29.58,8.19,3.32,-9.53,270.0,24.49,11
25600,36.850179662235,34.75128555422295,29.78,7.97,3.11,-9.61,270.0,24.55,16
25800,36.850179662235,34.75126744782544,29.68,7.84,2.4,-10.72,270.0,24.42,13
26000,36.850179662235,34.751249341427936,29.86,8.07,-3.79,-7.22,270.0,24.43,13
26200,36.850179662235,34.75123123503043,29.52,7.99,2.07,-6.91,270.0,24.44,11
26400,36.850179662235,34.751213128632926,30.22,7.81,1.01,-7.54,270.0,24.47,17
26600,36.850179662235,34.75119502223542,29.92,8.58,-4.01,-6.07,270.0,24.45,14
26800,36.850179662235,34.75117691583791,29.49,8.51,-0.06,-7.82,270.0,24.52,16
27000,36.850179662235,34.751158809440405,29.64,8.35,0.91,-7.22,270.0,24.5,15
27200,36.850179662235,34.7511407030429,30.11,7.83,1.39,-7.39,270.0,24.47,11
27400,36.850179662235,34.751122596645395,30.29,8.28,0.44,-8.18,270.0,24.45,16
27600,36.850179662235,34.75110449024789,30.7,8.22,0.73,-9.06,270.0,24.46,14
27800,36.850179662235,34.75108638385038,31.02,8.18,3.68,-3.57,270.0,24.4,15
28000,36.850179662235,34.75106827745287,30.15,8.38,3.07,-8.9,270.0,24.47,12
28200,36.850179662235,34.75105017105537,29.65,8.22,-7.17,-9.33,270.0,24.38,16
28400,36.850179662235,34.75103206465786,29.25,8.25,-0.79,-7.13,270.0,24.45,17
28600,36.850179662235,34.75101395826036,30.09,8.22,-0.41,-7.5,270.0,24.46,13
28800,36.850179662235,34.75099585186285,29.72,8.15,-4.38,-10.81,270.0,24.42,11
29000,36.850179662235,34.75097774546534,29.85,7.62,0.24,-5.75,270.0,24.4,16
29200,36.850179662235,34.75095963906784,29.79,8.09,3.12,-8.19,270.0,24.41,17
29400,36.850179662235,34.75094153267033,29.95,7.93,-2.72,-10.22,270.0,24.28,14
29600,36.850179662235,34.75092342627283,30.37,7.74,0.84,-5.62,270.0,24.4,15
29800,36.850179662235,34.750905319875315,30.05,8.48,-2.29,-6.75,270.0,24.38,12
30000,36.850179662235,34.75088721347781,29.94,8.5,-1.68,-10.53,270.0,24.37,11
30200,36.850179662235,34.750869107080305,29.64,8.4,3.69,-4.45,270.0,24.4,17
30400,36.850179662235,34.7508510006828,29.41,8.13,-1.36,-6.68,270.0,24.36,14
30600,36.850179662235,34.750832894285296,29.83,8.4,1.16,-8.02,270.0,24.31,12
30800,36.850179662235,34.75081478788778,29.98,8.07,-4.68,-4.82,270.0,24.35,15
31000,36.850179662235,34.75079668149028,30.62,8.12,4.66,-7.68,270.0,24.35,11
31200,36.850179662235,34.750778575092774,30.05,7.79,1.51,-8.06,270.0,24.35,11
31400,36.850179662235,34.75076046869527,30.34,8.16,-0.46,-9.32,270.0,24.34,12
31600,36.850179662235,34.75074236229776,29.83,8.08,1.44,-6.84,270.0,24.37,14
31800,36.850179662235,34.75072425590025,29.59,7.74,-3.52,-7.05,270.0,24.28,13
32000,36.850179662235,34.75070614950275,29.66,8.05,2.96,-7.97,270.0,24.33,12
32200,36.850179662235,34.75068804310524,29.75,8.04,-0.81,-9.58,270.0,24.37,13
32400,36.850179662235,34.75066993670774,30.74,8.51,-0.51,-7.74,270.0,24.24,13
32600,36.850179662235,34.750651830310225,29.71,8.29,-1.23,-8.14,270.0,24.31,14
32800,36.850179662235,34.75063372391272,30.29,8.07,-1.45,-10.67,270.0,24.28,14
33000,36.850179662235,34.750615617515216,29.68,8.13,1.74,-10.94,270.0,24.28,17
33200,36.850179662235,34.75059751111771,30.33,8.08,0.64,-6.87,270.0,24.25,16
33400,36.850179662235,34.750579404720206,30.13,8.01,1.63,-13.2,270.0,24.28,13
33600,36.850179662235,34.750561298322694,29.95,7.79,-0.02,-7.59,270.0,24.35,17
33800,36.850179662235,34.75054319192519,29.99,8.03,1.28,-8.96,270.0,24.22,14
34000,36.850179662235,34.750525085527684,29.77,7.88,-1.05,-5.38,270.0,24.22,12
34200,36.850179662235,34.75050697913018,30.16,7.75,5.57,-8.99,270.0,24.21,13
34400,36.850179662235,34.750488872732674,29.84,8.19,-3.92,-6.68,270.0,24.32,16
34600,36.850179662235,34.75047076633516,29.57,8.16,3.15,-8.79,270.0,24.23,16
34800,36.850179662235,34.75045265993766,29.55,7.62,3.42,-7.77,270.0,24.24,13
35000,36.850179662235,34.75043455354015,30.06,8.03,-2.13,-6.53,270.0,24.22,12
35200,36.850179662235,34.75041644714265,30.55,8.31,5.57,-8.93,270.0,24.2,12
35400,36.850179662235,34.75039834074514,30.06,8.33,2.49,-6.01,270.0,24.22,11
35600,36.850179662235,34.75038023434763,29.96,8.32,2.43,-9.99,270.0,24.32,15
35800,36.850179662235,34.750362127950126,30.1,8.07,0.07,-7.41,270.0,24.27,14
36000,36.850179662235,34.75034402155262,30.46,7.85,-0.54,-6.15,270.0,24.18,14
36200,36.850179662235,34.750325915155116,30.08,7.79,-0.52,-6.68,270.0,24.23,15
36400,36.850179662235,34.75030780875761,29.86,8.15,0.98,-4.17,270.0,24.17,16
36600,36.850179662235,34.7502897023601,30.39,8.16,3.5,-9.53,270.0,24.12,16
36800,36.850179662235,34.750271595962595,30.15,8.39,0.45,-10.76,270.0,24.23,11
37000,36.850179662235,34.75025348956509,30.54,8.34,-2.28,-9.99,270.0,24.23,15
37200,36.850179662235,34.750235383167585,30.06,8.03,2.06,-6.68,270.0,24.22,17
37400,36.850179662235,34.75021727677007,29.57,7.75,2.3,-7.0,270.0,24.15,16
37600,36.850179662235,34.75019917037257,29.52,7.98,1.64,-7.8,270.0,24.16,13
37800,36.850179662235,34.75018106397506,30.58,8.12,1.86,-10.25,270.0,24.19,13
38000,36.850179662235,34.75016295757756,30.6,8.01,-0.68,-6.47,270.0,24.17,17
38200,36.850179662235,34.75014485118005,29.94,7.92,-2.32,-10.45,270.0,24.14,11
38400,36.850179662235,34.75012674478254,29.87,8.13,-2.17,-5.68,270.0,24.08,14
38600,36.850179662235,34.750108638385036,30.51,7.94,-4.09,-2.29,270.0,24.14,11
38800,36.850179662235,34.75009053198753,29.61,7.91,0.59,-7.27,270.0,24.18,17
39000,36.850179662235,34.75007242559003,29.69,8.14,-0.21,-6.83,270.0,24.08,11
39200,36.850179662235,34.75005431919252,30.23,7.96,-1.1,-8.99,270.0,24.15,11
39400,36.850179662235,34.75003621279501,29.86,8.13,-7.39,-11.62,270.0,24.13,13
39600,36.850179662235,34.750018106397505,30.0,8.13,-3.12,-9.21,270.0,24.14,12
39800,36.850179662235,34.75,29.94,5.51,2.8,-10.19,315.9,24.14,14
40000,36.85019463408791,34.75,30.12,8.21,-1.66,-10.89,0.0,24.07,13
40200,36.85020960594083,34.75,30.49,8.69,0.9,-4.56,0.0,24.03,13
40400,36.850224577793746,34.75,30.03,8.04,-3.48,-7.45,0.0,24.07,14
40600,36.850239549646666,34.75,30.23,7.8,3.6,-7.24,0.0,24.12,14
40800,36.85025452149958,34.75,29.28,7.87,-0.36,-8.62,0.0,24.06,17
41000,36.8502694933525,34.75,29.98,8.34,0.73,-8.35,0.0,24.05,14
41200,36.85028446520541,34.75,29.7,8.34,5.81,-6.07,0.0,24.0,14
41400,36.85029943705833,34.75,29.57,8.3,3.79,-8.06,0.0,24.13,15
41600,36.850314408911245,34.75,29.69,8.64,-0.77,-6.94,0.0,24.09,12
41800,36.850329380764165,34.75,29.88,7.67,-1.48,-8.39,0.0,24.08,15
42000,36.85034435261708,34.75,30.32,8.43,-0.81,-8.68,0.0,24.09,17
42200,36.85035932447,34.75,29.54,6.19,1.27,-10.81,44.1,24.06,13
42400,36.85035932447,34.750018106397505,30.01,7.78,-0.26,-11.96,90.0,24.03,12
42600,36.85035932447,34.75003621279501,29.83,7.97,-0.99,-8.52,90.0,24.02,13
42800,36.85035932447,34.75005431919252,29.89,7.88,3.67,-7.89,90.0,24.01,12
43000,36.85035932447,34.75007242559003,30.35,7.84,-0.29,-10.57,90.0,24.12,15
43200,36.85035932447,34.75009053198753,30.19,7.98,5.75,-8.07,90.0,24.04,17
43400,36.85035932447,34.750108638385036,30.47,8.42,0.23,-7.89,90.0,23.99,15
43600,36.85035932447,34.75012674478254,29.95,8.52,4.46,-12.31,90.0,24.02,11
43800,36.85035932447,34.75014485118005,29.76,7.98,0.89,-9.83,90.0,23.96,13
44000,36.85035932447,34.75016295757756,29.92,8.54,2.41,-7.19,90.0,24.05,15
44200,36.85035932447,34.75018106397506,30.08,8.07,-1.81,-7.23,90.0,23.96,13
44400,36.85035932447,34.75019917037257,30.06,8.5,-2.13,-10.31,90.0,24.0,15
44600,36.85035932447,34.75021727677007,29.62,8.04,1.15,-7.68,90.0,24.02,15
44800,36.85035932447,34.750235383167585,30.03,8.1,2.47,-5.96,90.0,23.99,13
45000,36.85035932447,34.75025348956509,30.08,8.16,0.1,-6.45,90.0,23.97,15
45200,36.85035932447,34.750271595962595,30.88,8.86,-3.22,-8.19,90.0,23.96,13
45400,36.85035932447,34.7502897023601,30.66,8.28,-3.4,-8.94,90.0,23.95,11
45600,36.85035932447,34.75030780875761,29.7,7.89,-3.57,-9.26,90.0,23.92,13
45800,36.85035932447,34.750325915155116,29.9,8.31,-4.42,-7.06,90.0,23.92,14
46000,36.85035932447,34.75034402155262,29.49,7.97,0.27,-7.61,90.0,24.0,11
46200,36.85035932447,34.750362127950126,29.79,7.94,2.81,-6.74,90.0,23.93,17
46400,36.85035932447,34.75038023434763,30.11,8.29,-0.03,-7.74,90.0,23.89,14
46600,36.85035932447,34.75039834074514,30.42,8.07,-5.65,-6.36,90.0,23.9,11
46800,36.85035932447,34.75041644714265,29.74,8.13,-0.48,-7.81,90.0,23.96,17
47000,36.85035932447,34.75043455354015,29.77,8.07,-0.41,-6.43,90.0,23.94,16
47200,36.85035932447,34.75045265993766,29.25,8.15,5.24,-6.26,90.0,23.93,11
47400,36.85035932447,34.75047076633516,29.94,8.17,-3.64,-9.61,90.0,23.89,12
47600,36.85035932447,34.750488872732674,29.63,7.58,-0.98,-11.62,90.0,23.92,13
47800,36.85035932447,34.75050697913018,29.81,8.23,4.26,-4.91,90.0,23.86,14
48000,36.85035932447,34.750525085527684,29.69,7.82,1.12,-7.49,90.0,23.87,16
48200,36.85035932447,34.75054319192519,29.97,7.7,1.41,-11.43,90.0,23.92,13
48400,36.85035932447,34.750561298322694,29.38,8.05,0.29,-9.43,90.0,23.91,15
48600,36.85035932447,34.750579404720206,29.49,8.09,0.82,-6.46,90.0,23.83,11
48800,36.85035932447,34.75059751111771,30.75,7.89,1.94,-8.56,90.0,23.83,15
49000,36.85035932447,34.750615617515216,29.55,8.27,-2.02,-9.02,90.0,23.86,17
49200,36.85035932447,34.75063372391272,29.62,7.73,2.2,-5.2,90.0,23.92,14
49400,36.85035932447,34.750651830310225,30.64,7.96,-3.43,-10.09,90.0,23.77,14
49600,36.85035932447,34.75066993670774,31.02,7.92,0.82,-9.6,90.0,23.85,13
49800,36.85035932447,34.75068804310524,29.59,8.05,0.45,-7.58,90.0,23.78,17
50000,36.85035932447,34.75070614950275,29.87,8.13,-1.54,-7.22,90.0,23.8,11
50200,36.85035932447,34.75072425590025,30.12,7.81,-0.06,-7.01,90.0,23.81,13
50400,36.85035932447,34.75074236229776,30.61,8.25,-1.56,-6.18,90.0,23.8,11
50600,36.85035932447,34.75076046869527,29.65,8.08,-2.68,-7.6,90.0,23.79,17
50800,36.85035932447,34.750778575092774,29.91,7.59,-0.88,-7.02,90.0,23.81,14
51000,36.85035932447,34.75079668149028,30.27,7.57,-2.76,-8.52,90.0,23.78,17
51200,36.85035932447,34.75081478788778,30.15,8.06,0.81,-7.87,90.0,23.74,15
51400,36.85035932447,34.750832894285296,29.87,8.01,-2.88,-7.78,90.0,23.82,14
51600,36.85035932447,34.7508510006828,29.95,8.04,1.78,-7.57,90.0,23.81,14
51800,36.85035932447,34.750869107080305,29.52,8.06,-2.95,-6.45,90.0,23.81,12
52000,36.85035932447,34.75088721347781,29.92,8.12,-1.42,-6.89,90.0,23.71,14
52200,36.85035932447,34.750905319875315,29.91,8.3,-1.56,-7.91,90.0,23.78,15
52400,36.85035932447,34.75092342627283,30.08,7.79,3.31,-9.62,90.0,23.79,17
52600,36.85035932447,34.75094153267033,29.81,7.77,0.83,-7.86,90.0,23.71,14
52800,36.85035932447,34.75095963906784,30.17,7.79,-0.53,-8.06,90.0,23.75,17
53000,36.85035932447,34.75097774546534,30.35,8.14,1.25,-7.61,90.0,23.74,17
53200,36.85035932447,34.75099585186285,30.05,8.38,-5.27,-3.59,90.0,23.81,14
53400,36.85035932447,34.75101395826036,30.12,7.96,-0.11,-9.05,90.0,23.81,14
53600,36.85035932447,34.75103206465786,30.02,7.44,4.99,-7.16,90.0,23.66,11
53800,36.85035932447,34.75105017105537,30.0,7.64,0.33,-5.86,90.0,23.82,12
54000,36.85035932447,34.75106827745287,29.75,7.86,0.17,-7.8,90.0,23.68,17
54200,36.85035932447,34.75108638385038,30.11,7.93,1.37,-3.32,90.0,23.75,11
54400,36.85035932447,34.75110449024789,29.97,7.96,2.24,-8.76,90.0,23.74,13
54600,36.85035932447,34.751122596645395,30.73,8.07,-4.99,-7.35,90.0,23.66,15
54800,36.85035932447,34.7511407030429,30.55,7.99,-4.21,-9.6,90.0,23.71,12
55000,36.85035932447,34.751158809440405,30.14,8.33,0.53,-8.7,90.0,23.69,17
55200,36.85035932447,34.75117691583791,29.73,7.9,-1.79,-7.5,90.0,23.71,15
55400,36.85035932447,34.75119502223542,29.61,7.85,3.28,-6.31,90.0,23.69,11
55600,36.85035932447,34.751213128632926,30.42,8.18,-0.79,-7.36,90.0,23.72,12
55800,36.85035932447,34.75123123503043,30.09,7.68,-4.84,-5.48,90.0,23.67,16
56000,36.85035932447,34.751249341427936,30.17,8.16,-3.17,-8.19,90.0,23.66,17
56200,36.85035932447,34.75126744782544,29.39,8.09,-6.87,-8.66,90.0,23.7,17
56400,36.85035932447,34.75128555422295,30.32,8.03,-0.59,-2.59,90.0,23.67,16
56600,36.85035932447,34.75130366062046,30.16,8.46,-0.47,-7.21,90.0,23.67,11
56800,36.85035932447,34.75132176701796,29.61,7.91,-1.06,-9.44,90.0,23.61,16
57000,36.85035932447,34.75133987341547,29.83,8.58,2.7,-9.39,90.0,23.59,11
57200,36.85035932447,34.75135797981298,30.09,8.01,3.0,-9.89,90.0,23.61,11
57400,36.85035932447,34.751376086210485,30.02,7.75,-0.43,-6.13,90.0,23.6,15
57600,36.85035932447,34.75139419260799,29.9,8.08,-5.34,-8.73,90.0,23.65,14
57800,36.85035932447,34.751412299005494,29.96,7.8,1.54,-7.75,90.0,23.65,15
58000,36.85035932447,34.751430405403,29.91,7.88,1.39,-8.13,90.0,23.6,16
58200,36.85035932447,34.75144851180051,30.05,8.16,0.77,-6.54,90.0,23.66,11
58400,36.85035932447,34.751466618198016,30.52,8.2,2.45,-9.69,90.0,23.65,14
58600,36.85035932447,34.75148472459552,29.1,7.91,-2.91,-10.15,90.0,23.6,16
58800,36.85035932447,34.751502830993026,29.92,8.31,5.02,-7.55,90.0,23.55,14
59000,36.85035932447,34.75152093739053,30.06,8.35,-2.4,-6.8,90.0,23.64,14
59200,36.85035932447,34.75153904378804,30.1,8.42,1.87,-7.33,90.0,23.57,14
59400,36.85035932447,34.75155715018555,29.87,8.2,-4.22,-9.62,90.0,23.57,17
59600,36.85035932447,34.75157525658305,29.39,8.41,-2.33,-6.65,90.0,23.55,11
59800,36.85035932447,34.75159336298056,30.11,7.59,3.79,-9.49,90.0,23.52,17
60000,36.85035932447,34.75161146937806,30.6,7.99,-0.65,-9.04,90.0,23.49,16
60200,36.85035932447,34.751629575775574,29.46,7.85,2.1,-9.89,90.0,23.57,16
60400,36.85035932447,34.75164768217308,30.3,8.09,0.59,-5.4,90.0,23.51,13
60600,36.85035932447,34.751665788570584,29.89,7.92,-0.26,-6.73,90.0,23.66,14
60800,36.85035932447,34.75168389496809,29.98,5.76,3.41,-6.79,44.1,23.49,13
61000,36.85037429632291,34.75168389496809,29.63,8.8,-0.59,-5.51,0.0,23.47,12
61200,36.85038926817583,34.75168389496809,29.88,8.29,-4.45,-2.37,0.0,23.54,17
61400,36.850404240028745,34.75168389496809,30.46,8.44,-2.01,-11.42,0.0,23.57,14
61600,36.850419211881665,34.75168389496809,30.2,8.28,1.38,-9.48,0.0,23.51,16
61800,36.85043418373458,34.75168389496809,30.61,8.35,0.99,-9.23,0.0,23.53,11
62000,36.8504491555875,34.75168389496809,30.41,8.33,-3.92,-9.7,0.0,23.42,16
62200,36.85046412744041,34.75168389496809,30.15,8.45,-1.81,-10.16,0.0,23.46,15
